securLayer,HEXinURL,IPinURL,hostLength,URLlength,pathLength,dashInHOST,dotInHOST,dotInPATH,slashInURL,DigitInHOST,NumOfCertainKeyword,numOfSpecialCharacters,AtInURL,underscoreInHOST,underscoreInPATH,PresenceOfWWW,portRedirect,numOfHexWithePersent,NumberOfForms,numGet,numpost,numberOfOuterSRCinScript,numberOfScript,NumberOfIframe,NumberOfApplet,NumberOfEmbed,NumberOfFrame,NumberOflink,NumberOfNonlink,NumberOfFsubmint,NumberOfInputEmail,NumberOfInputpassword,NumberOfFbutton,alexa,age,target label
0,0,0,7,18,4,0,1,0,3,1,0,0,0,0,0,0,0,0,3,3,0,11,16,4,0,0,0,15,1,0,1,3,0,690424,1,1
0,0,0,6,19,6,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,4,0,0,0,0,0,665584,1,1
0,0,0,10,65,48,0,1,1,7,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628558,1,1
1,0,0,20,57,29,0,2,1,4,0,0,2,0,0,4,1,0,0,1,0,1,6,10,1,0,0,0,8,0,0,0,0,0,510749,1,1
0,0,0,16,24,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,154154,1,1
0,0,0,19,35,9,0,2,1,3,6,4,0,0,0,0,0,0,0,1,0,1,3,4,0,0,0,0,4,6,0,1,1,0,19786,1,1
1,0,0,30,39,1,0,2,0,3,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4531,1,1
0,0,0,39,70,24,0,2,0,6,3,5,1,0,0,0,0,0,1,1,0,1,8,23,5,0,0,0,5,0,0,0,2,0,4531,1,1
1,0,0,40,78,30,0,2,1,3,1,11,0,0,0,0,1,0,0,1,0,1,1,3,0,0,0,0,5,0,0,0,1,0,4531,1,1
1,0,0,31,69,30,0,2,1,3,2,10,0,0,0,0,1,0,0,1,0,1,1,3,0,0,0,0,5,0,0,0,1,0,4531,1,1
1,0,0,34,100,58,0,2,1,3,3,12,4,0,0,2,1,0,0,1,0,1,1,2,1,0,0,0,4,0,0,0,0,0,4531,1,1
1,0,0,34,156,114,0,2,1,3,3,18,13,0,0,4,1,0,0,1,0,1,1,2,1,0,0,0,4,0,0,0,0,0,4531,1,1
1,0,0,35,73,30,0,2,1,3,2,11,0,0,0,0,1,0,0,1,0,1,1,3,0,0,0,0,5,0,0,0,1,0,4531,1,1
1,0,0,27,65,30,0,2,1,3,1,9,0,0,0,0,1,0,0,1,0,1,1,3,0,0,0,0,5,0,0,0,1,0,4531,1,1
1,0,0,29,67,30,0,2,1,3,3,10,0,0,0,0,1,0,0,1,0,1,1,3,0,0,0,0,5,0,0,0,1,0,4531,1,1
1,0,0,30,68,30,0,2,1,3,4,10,0,0,0,0,1,0,0,1,0,1,1,3,0,0,0,0,5,0,0,0,1,0,4531,1,1
0,0,0,27,51,17,0,2,1,3,0,3,0,0,0,0,0,0,0,2,0,2,0,4,0,0,0,0,11,0,1,1,1,0,4531,1,1
0,0,0,59,67,1,0,2,0,3,11,4,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,3,0,1,1,0,0,4531,1,1
1,0,0,26,64,30,0,2,1,3,2,9,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,5,0,0,0,1,0,4522,1,1
0,0,0,23,48,18,0,2,1,4,0,4,0,0,0,0,0,0,0,1,0,1,8,29,1,0,0,0,14,0,0,0,1,0,4522,1,1
1,0,0,37,75,30,0,2,1,3,9,9,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,5,0,0,0,1,0,4522,1,1
0,0,0,37,131,87,1,2,1,3,0,12,9,0,0,2,0,0,0,1,0,1,1,2,0,0,0,0,5,0,0,0,0,0,4522,1,1
0,0,0,37,147,103,1,2,1,3,0,16,11,0,0,4,0,0,0,1,0,1,1,2,0,0,0,0,6,0,0,0,0,0,4522,1,1
1,0,0,35,157,114,0,2,1,3,8,16,13,0,0,4,0,0,0,1,0,1,1,2,1,0,0,0,4,0,0,0,0,0,4522,1,1
0,0,0,26,91,58,0,2,1,3,2,10,4,0,0,2,0,0,0,1,0,1,1,2,1,0,0,0,4,0,0,0,0,0,4522,1,1
1,0,0,42,164,114,0,2,1,3,8,15,13,0,0,4,0,0,0,1,0,1,1,2,1,0,0,0,4,0,0,0,0,0,4522,1,1
1,0,0,42,137,87,0,2,1,3,8,11,9,0,0,2,0,0,0,1,0,1,1,2,0,0,0,0,5,0,0,0,0,0,4522,1,1
1,0,0,25,63,30,0,2,1,3,1,8,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,5,0,0,0,1,0,4522,1,1
1,0,0,30,152,114,0,2,1,3,4,17,13,0,0,4,1,0,0,1,0,1,1,2,1,0,0,0,4,0,0,0,0,0,4516,1,1
0,0,0,37,158,114,0,2,1,3,9,16,13,0,0,4,0,0,0,1,0,1,1,2,1,0,0,0,4,0,0,0,0,0,4516,1,1
1,0,0,46,55,1,0,2,0,3,0,4,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,4,0,1,0,3,0,4516,1,1
0,0,0,9,44,28,0,1,1,7,0,2,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,5,1,0,0,0,0,-1,1,1
0,0,0,13,48,28,0,2,1,7,0,2,0,0,0,0,1,0,0,1,0,1,1,2,0,0,0,0,5,1,0,1,1,0,-1,1,1
0,0,0,20,66,39,0,1,0,9,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,7,0,1,0,1,0,-1,1,1
0,0,0,20,67,40,0,1,1,4,0,5,0,0,0,0,0,0,0,1,0,1,2,7,0,0,0,0,0,0,1,0,1,0,-1,1,1
0,0,0,18,52,27,0,1,1,6,0,1,0,0,0,0,0,0,0,1,0,1,1,8,0,0,0,0,0,1,0,1,1,0,-1,1,1
0,0,0,13,44,24,0,1,1,5,0,3,0,0,0,0,0,0,0,1,0,1,8,12,0,0,0,0,24,0,0,0,1,0,-1,1,1
1,0,0,9,30,13,0,1,0,6,0,2,0,0,0,0,0,0,0,1,0,1,4,5,0,0,0,0,3,6,1,1,1,0,-1,1,1
0,0,0,12,49,30,0,1,1,6,0,1,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,8,0,0,1,1,0,-1,1,1
0,0,0,11,34,16,0,1,1,4,0,1,0,0,0,0,0,0,0,2,0,2,1,2,0,0,0,0,7,0,1,2,2,0,-1,1,1
0,0,0,21,90,62,0,1,1,3,0,3,6,0,0,1,0,0,0,2,0,2,24,31,1,0,0,0,17,4,2,0,1,0,-1,1,1
0,0,0,12,40,21,0,1,0,6,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,8,0,0,1,1,0,-1,1,1
0,0,0,12,50,31,0,1,1,6,0,1,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,8,0,0,1,1,0,-1,1,1
0,0,0,17,48,24,1,2,0,7,0,2,0,0,0,0,1,0,0,1,0,1,4,5,0,0,0,0,3,0,1,1,1,0,-1,1,1
1,0,0,26,35,1,2,1,0,3,3,3,0,0,0,0,0,0,0,3,1,2,17,18,0,0,0,0,18,0,0,2,0,0,-1,1,1
0,0,0,29,46,10,0,2,1,3,0,1,0,0,0,0,1,0,0,1,0,1,21,28,6,0,0,0,39,1,0,0,0,0,-1,1,1
0,0,0,11,46,28,0,1,1,5,0,3,2,0,0,0,0,0,0,1,0,1,2,4,0,0,0,0,6,0,0,0,1,0,-1,1,1
0,0,0,9,29,13,0,1,0,6,0,2,0,0,0,0,0,0,0,1,0,1,4,5,0,0,0,0,3,6,1,1,1,0,-1,1,1
0,0,0,13,33,13,0,2,0,6,0,2,0,0,0,0,1,0,0,1,0,1,4,5,0,0,0,0,3,6,1,1,1,0,-1,1,1
0,0,0,16,42,19,0,1,1,4,0,2,0,0,0,0,0,0,0,1,0,1,4,9,0,0,0,0,2,0,0,0,0,0,-1,1,1
0,0,0,16,71,48,0,2,1,7,0,5,0,0,0,0,0,0,0,1,0,1,1,7,0,0,0,0,5,0,1,0,0,0,-1,1,1
0,0,0,16,74,51,0,2,1,7,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,-1,1,1
0,1,0,18,125,100,0,1,0,5,1,1,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,-1,1,1
0,0,0,16,38,15,0,1,1,4,0,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,7,0,1,0,1,0,-1,1,1
0,0,0,13,38,18,0,1,0,6,0,2,0,0,0,0,0,0,0,2,0,2,6,9,0,0,0,0,10,8,2,2,2,0,-1,1,1
0,0,0,23,58,28,0,2,2,6,0,0,0,0,0,0,1,0,0,3,2,1,0,2,0,0,0,0,2,1,1,0,1,0,-1,1,1
0,0,0,17,40,16,0,2,1,4,0,0,0,0,0,0,1,0,0,1,0,1,4,5,0,0,0,0,3,6,1,1,1,0,-1,1,1
0,0,0,10,18,1,0,1,0,3,0,0,0,0,0,0,0,0,0,2,2,0,20,25,0,0,0,0,45,0,2,0,0,0,-1,1,1
0,0,0,16,67,44,0,1,2,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1
0,0,0,30,60,23,0,2,0,6,0,2,0,0,0,0,1,0,0,5,0,5,3,5,0,0,0,0,8,0,4,2,6,0,-1,1,1
0,0,0,14,22,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,-1,1,1
0,0,0,11,80,62,0,1,1,9,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,1,1
0,0,0,40,87,40,2,2,0,6,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,-1,1,1
0,0,0,16,41,18,0,1,1,4,0,2,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,6,0,1,0,1,0,-1,1,1
0,0,0,16,60,37,0,1,1,4,0,2,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,6,0,1,0,1,0,-1,1,1
0,0,0,22,37,8,1,1,0,4,0,0,0,0,0,0,0,0,0,1,0,1,4,5,0,0,0,0,3,6,1,1,1,0,-1,1,1
0,0,0,11,70,52,0,1,0,9,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,1,1
0,0,0,13,34,14,0,1,0,6,0,1,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,5,1,0,1,1,0,-1,1,1
0,0,0,11,82,64,0,1,1,10,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,1,1
0,0,0,16,73,50,0,1,2,9,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,-1,1,1
0,0,0,29,37,1,0,3,0,3,0,1,0,0,0,0,1,0,0,0,0,0,5,9,0,0,0,0,30,0,0,0,0,0,-1,1,1
1,0,0,19,36,9,0,1,0,3,0,0,0,0,0,0,0,0,0,2,0,2,6,14,1,0,0,0,6,0,0,1,1,0,-1,1,1
0,1,0,29,77,41,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,-1,1,1
0,0,0,29,56,20,0,2,1,5,0,1,0,0,0,0,0,0,0,1,0,1,4,5,0,0,0,0,3,6,1,1,1,0,-1,1,1
0,0,0,26,42,9,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,-1,1,1
0,1,0,29,74,38,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,-1,1,1
0,1,0,29,78,42,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,-1,1,1
0,0,0,14,100,79,0,1,1,5,0,6,6,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,-1,1,1
0,0,0,14,108,87,0,1,1,5,0,6,8,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,-1,1,1
0,0,0,14,109,88,0,1,1,5,0,6,9,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,-1,1,1
0,0,0,22,60,31,0,3,1,3,0,5,2,0,0,0,0,0,0,2,1,1,4,12,0,0,0,0,15,0,1,1,1,0,-1,1,1
0,0,0,26,59,26,0,1,0,8,0,4,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,-1,1,1
0,0,0,26,55,22,0,1,0,7,0,4,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,-1,1,1
0,0,0,20,48,21,0,1,0,6,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,-1,1,1
1,0,0,20,48,20,0,2,1,4,0,0,0,0,0,0,1,0,0,1,0,1,5,7,0,0,0,0,3,6,1,1,1,0,-1,1,1
1,0,0,25,46,13,2,2,0,4,0,2,0,0,0,0,1,0,0,1,0,1,29,36,2,0,0,0,13,1,1,0,0,0,-1,1,1
0,0,0,21,47,19,0,1,1,4,1,0,0,0,0,0,0,0,0,1,0,1,4,5,0,0,0,0,3,6,1,1,1,0,-1,1,1
0,0,0,23,47,17,0,1,0,5,0,0,0,0,0,0,0,0,0,5,0,5,3,4,0,0,0,0,8,0,4,2,5,0,-1,1,1
0,0,0,22,56,27,0,2,1,6,0,1,0,0,0,0,1,0,0,1,0,1,1,8,0,0,0,0,0,1,0,1,1,0,-1,1,1
0,0,0,26,53,20,0,1,0,6,0,2,0,0,0,0,0,0,0,5,0,5,3,5,0,0,0,0,8,0,4,2,6,0,-1,1,1
0,1,0,17,64,40,0,2,0,5,0,1,0,0,0,0,1,0,0,1,0,1,5,8,0,0,0,0,5,6,1,1,1,0,-1,1,1
0,0,0,20,77,50,0,1,1,9,0,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,-1,1,1
0,0,0,20,75,48,0,1,1,9,0,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,-1,1,1
0,0,0,29,47,11,0,2,0,5,0,0,0,0,0,0,0,0,0,1,0,1,4,5,0,0,0,0,3,6,1,1,1,0,-1,1,1
1,0,0,13,121,100,0,1,1,9,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1
1,0,0,12,23,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1
0,0,0,12,70,51,0,1,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1
0,0,0,29,58,22,0,1,0,6,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,9,0,1,0,1,0,-1,1,1
0,0,0,29,61,25,0,1,0,6,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,9,0,1,0,1,0,-1,1,1
0,0,0,29,57,21,0,1,0,5,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,-1,1,1
0,0,0,19,42,16,0,2,0,6,0,4,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,5,1,0,1,1,0,-1,1,1
0,0,0,11,38,20,0,1,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1
0,0,0,23,40,10,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,-1,1,1
1,0,0,18,35,9,0,2,0,3,0,0,0,0,0,0,1,0,0,2,0,2,8,12,0,0,0,0,9,0,2,2,3,0,-1,1,1
1,0,0,14,31,9,0,1,0,3,0,0,0,0,0,0,0,0,0,2,0,2,8,12,0,0,0,0,9,0,2,2,3,0,-1,1,1
0,0,0,17,43,19,0,1,1,5,0,3,0,0,0,0,0,0,0,1,1,0,7,10,0,0,0,0,4,0,1,0,1,0,-1,1,1
0,0,0,17,78,54,0,2,3,5,0,5,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,-1,1,1
0,0,0,29,53,17,0,2,0,5,0,2,0,0,0,0,0,0,0,1,0,1,4,5,0,0,0,0,0,6,1,1,1,0,-1,1,1
1,0,0,19,37,10,0,2,0,6,0,1,0,0,0,0,1,0,0,0,0,0,10,18,0,0,0,0,71,2,0,0,1,0,-1,1,1
0,0,0,13,34,14,0,1,1,4,0,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,7,0,1,0,1,0,-1,1,1
0,0,0,14,44,23,0,1,1,5,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,-1,1,1
0,0,0,13,25,5,0,1,0,4,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,7,0,1,0,1,0,-1,1,1
0,0,0,13,38,18,0,1,1,4,0,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,7,0,1,0,1,0,-1,1,1
0,0,0,13,29,9,0,1,0,4,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,7,0,1,0,1,0,-1,1,1
0,0,0,15,71,49,0,1,4,5,0,3,0,0,0,0,0,0,0,1,0,1,1,5,0,0,0,0,6,0,1,0,0,0,-1,1,1
0,0,0,36,105,62,0,2,1,4,0,7,4,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,1,1
0,0,0,11,31,13,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,5,0,0,0,0,0,-1,1,1
0,0,0,11,47,29,0,1,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1
0,0,0,13,25,5,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,1,4,5,0,0,0,0,3,0,1,1,1,0,-1,1,1
0,0,0,21,41,13,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,7,1,0,0,0,9,0,0,0,0,0,-1,0.9,1
0,1,0,14,75,54,0,1,0,6,0,1,0,0,0,3,0,0,0,5,0,5,4,6,0,0,0,0,8,0,4,2,5,0,-1,0.9,1
0,0,0,17,41,17,0,2,1,4,0,1,0,0,0,0,1,0,0,1,0,1,7,18,3,0,0,0,12,0,1,1,1,0,-1,0.9,1
0,0,0,21,117,89,0,2,4,6,0,2,4,1,0,0,1,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,-1,0.9,1
0,0,0,49,80,24,0,7,0,7,1,8,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,5,0,0,1,1,0,-1,0.9,1
0,1,0,14,61,40,0,1,0,5,0,0,0,0,0,0,0,0,0,1,0,1,4,5,0,0,0,0,3,7,1,1,1,0,-1,0.9,1
0,1,0,14,70,49,0,1,1,5,0,1,0,0,0,0,0,0,0,1,0,1,4,5,0,0,0,0,3,7,1,1,1,0,-1,0.9,1
0,1,0,14,85,64,0,1,1,5,0,2,2,0,0,0,0,0,0,1,0,1,4,5,0,0,0,0,3,7,1,1,1,0,-1,0.9,1
0,1,0,18,97,72,1,2,0,4,0,0,1,0,0,0,1,0,0,1,0,1,17,19,0,0,0,0,6,1,1,0,1,0,-1,0.9,1
0,0,0,28,55,20,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.8,1
0,0,0,28,71,36,0,3,1,6,4,3,2,0,0,0,0,0,0,1,0,1,4,6,0,0,0,0,7,0,0,0,1,0,-1,0.8,1
0,0,0,28,105,70,0,3,2,6,4,6,2,1,0,0,0,0,0,1,0,1,4,6,0,0,0,0,7,0,0,0,1,0,-1,0.8,1
0,0,0,28,94,59,0,3,2,6,4,6,2,1,0,0,0,0,0,1,0,1,4,6,0,0,0,0,7,0,0,0,1,0,-1,0.8,1
0,0,0,28,93,58,0,3,3,6,4,4,2,1,0,0,0,0,0,1,0,1,4,6,0,0,0,0,7,0,0,0,1,0,-1,0.8,1
0,0,0,32,40,1,0,2,0,3,0,4,0,0,0,0,0,0,0,1,0,1,6,7,0,0,0,0,63,2,0,0,1,0,-1,0.8,1
0,0,0,27,35,1,0,2,0,3,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10,0,1,0,0,0,-1,0.8,1
0,0,0,22,30,1,1,1,0,3,0,1,0,0,0,0,0,0,0,1,0,1,4,5,1,0,0,0,7,4,1,0,0,0,-1,0.8,1
0,0,0,22,50,21,1,1,0,5,0,4,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,-1,0.8,1
0,0,0,13,26,6,0,1,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,-1,0.8,1
0,0,0,13,47,27,0,1,1,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.8,1
0,0,0,17,25,1,0,2,0,3,0,0,0,0,0,0,1,0,0,2,0,2,4,6,0,0,0,0,39,0,2,0,0,0,-1,0.8,1
0,0,0,21,87,59,0,3,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,-1,0.8,1
0,0,0,21,35,7,0,3,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,-1,0.8,1
0,0,0,21,92,64,0,3,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,-1,0.8,1
0,0,0,21,41,13,0,3,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,-1,0.8,1
1,0,0,22,130,100,0,2,1,7,0,1,9,0,0,0,1,0,9,1,0,1,11,21,6,0,0,0,13,0,0,0,1,0,-1,0.8,1
1,0,0,22,40,10,0,2,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,-1,0.8,1
0,0,0,31,39,1,1,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.8,1
0,0,0,18,51,26,0,3,1,6,0,3,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,53,0,1,0,2,0,-1,0.8,1
0,0,0,21,62,34,0,3,1,8,0,5,0,0,0,0,1,0,0,1,0,1,4,4,0,0,0,0,0,1,1,0,1,0,-1,0.8,1
0,0,0,16,24,1,0,1,0,3,0,1,0,0,0,0,0,0,0,1,0,1,6,7,0,0,0,0,63,2,0,0,1,0,-1,0.8,1
0,0,0,18,57,32,0,1,0,7,0,2,0,0,0,0,0,0,0,1,0,1,4,5,0,0,0,0,1,6,1,1,1,0,-1,0.8,1
0,0,0,34,42,1,0,2,0,3,0,4,0,0,0,0,0,0,0,1,0,1,8,9,0,0,0,0,63,2,0,0,1,0,-1,0.8,1
0,0,0,11,30,12,0,1,0,4,0,0,0,0,0,0,0,0,0,2,2,0,4,9,1,0,0,0,11,0,1,0,0,0,-1,0.8,1
0,0,0,11,31,13,0,1,0,5,0,0,0,0,0,0,0,0,0,2,2,0,4,9,1,0,0,0,11,0,1,0,0,0,-1,0.8,1
0,0,0,12,52,33,0,2,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14946824,0.7,1
1,0,0,19,28,1,0,1,0,3,0,0,0,0,0,0,0,0,0,1,1,0,1,15,0,0,0,0,29,0,0,0,0,0,13394283,0.7,1
1,0,0,19,109,82,0,1,2,3,0,5,9,0,0,1,0,0,0,1,0,1,1,3,0,0,0,0,3,0,1,0,1,0,13394283,0.7,1
0,0,0,27,41,7,0,1,0,5,0,0,0,0,0,0,0,0,0,1,0,1,4,5,0,0,0,0,3,7,1,1,1,0,-1,0.7,1
1,0,0,17,26,1,0,2,0,3,0,0,0,0,0,0,1,0,0,3,2,1,7,14,1,0,0,0,85,0,4,0,0,0,-1,0.7,1
1,0,0,25,59,26,0,2,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0.7,1
0,1,0,12,113,94,1,1,3,3,0,7,8,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,-1,0.7,1
0,0,0,12,20,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,-1,0.7,1
0,0,0,30,38,1,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,13,0,0,0,0,0,-1,0.7,1
1,0,0,30,39,1,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,13,0,0,0,0,0,-1,0.7,1
1,0,0,21,30,1,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-1,0.6,1
1,0,0,19,56,29,0,2,0,3,0,0,0,0,0,0,1,0,0,4,3,1,2,68,3,0,0,0,191,1,0,1,0,0,946711,0.5,1
1,0,0,20,29,1,0,1,0,3,0,2,0,0,0,0,0,0,0,2,2,0,4,9,1,0,0,0,10,0,1,0,0,0,-1,0.5,1
1,0,0,20,61,33,0,1,1,4,0,4,2,0,0,0,0,0,0,2,2,0,4,9,1,0,0,0,10,0,1,0,0,0,-1,0.5,1
0,0,0,20,28,1,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,17,21,2,0,0,0,22,0,0,0,0,0,391366,0.4,1
0,0,0,40,95,48,1,2,1,3,1,2,5,0,0,0,1,0,1,0,0,0,3,15,2,0,0,0,1,0,0,0,0,0,-1,0.4,1
1,0,0,10,24,6,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,8,9,1,0,0,0,0,3,0,0,1,0,-1,0.4,1
1,0,0,10,24,6,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,-1,0.4,1
0,0,0,14,22,1,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,17933905,0.3,1
1,1,0,20,92,64,0,2,0,6,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,-1,0.3,1
0,0,0,19,39,13,1,2,0,4,0,1,0,0,0,0,1,0,0,2,0,2,12,19,4,0,0,0,14,0,1,0,2,0,12399392,0.2,1
1,0,0,23,66,35,0,2,1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304525,0.2,1
1,0,0,12,41,21,0,1,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,-1,0.2,1
0,0,0,34,76,35,0,1,0,4,0,4,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,8,0,0,0,0,0,-1,0.2,1
0,0,0,19,53,27,0,1,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,-1,0.2,1
1,1,0,25,84,51,0,2,1,6,0,2,0,0,0,0,1,0,0,6,0,6,2,3,0,0,0,0,13,0,6,0,6,0,-1,0.2,1
1,0,0,25,62,29,0,2,1,6,0,4,0,0,0,0,1,0,0,6,0,6,2,3,0,0,0,0,13,0,6,0,6,0,-1,0.2,1
